Model,Model Version,Dataset Version,Split Version,Valid Items,IoU Macro,IoU Micro,Dice Macro,Dice Micro,Precision Macro,Recall Macro,F1 Macro,False Positive Rate,Mean Latency (ms),Median Latency (ms)
Production SAR-Adapted SAM,sam-vit-b-sar-adapter-v1.0.0,DARTIS-2019-v1.0,DARTIS-2019-val,10,0.652041,0.383515,0.707753,0.554407,0.743883,0.70974,0.707753,0.011484,535.16,494.87
Vanilla SAM ViT-B Baseline,sam-vit-b-vanilla-baseline-v1.0.0,DARTIS-2019-v1.0,DARTIS-2019-val,10,0.493091,0.254795,0.496516,0.406114,0.497067,0.996002,0.496516,0.132848,505.2,506.41
